Poste;Entreprise;Ville;Salaire/TJM;Description;Lien;tech_score;salaire_annuel_estime
Data Analyst Dataiku/Tableau/SAS;OBJECTWARE;France / Remote;400-550 €⁄j;Objectif de la mission Au sein du Pole Data & Analytics, dans l’équipe Data Monitoring Réseaux, dont la fonction principale est de délivrer les reportings et les Dashboard pour le réseau d’agence, nous étoffons notre équipe de data Analysts pour répondre aux demandes du Plan Stratégique 2026-2030. Prestations demandées Les missions sont : - Analyse, création, évolution et modification des traitements de données (création d'indicateurs & des codes références) - Uniformisation technique des processus de traitement de données - Supervision du bon déploiement des nouveaux processus de traitement - Vérification de la bonne intégration des données et de leurs référencements (mise à jour des glossaires associés) - Mise en place, maintenance et test des jeux de données - Automatisation des programmes avec DataIku - Prise en charge à la réalisation de la Visualisation avec Tableau (Desktop / Serveur) La maitrise de DataIku et de SQL sont indispensables. La maitrise de Tableau et SAS seraient de vrais plus.;https://www.free-work.com/fr/tech-it/consultant-decisionnel-bi-powerbi-sas-tableau/job-mission/data-analyst-dataiku-tableau-sas-1;4;104500.0
Data Analyst orienté Cybersécurité & Reporting (H/F);AVA2I;France / Remote;400-550 €⁄j;Nous recrutons : Data Analyst orienté Cybersécurité & Reporting Nous recherchons un profil DATA et REPORTING spécialisé dans l’univers Cyber et IAM pour renforcer nos équipes. Missions principales : Production, suivi et automatisation des KPI/KRI Cyber & IAM Industrialisation de dashboards (Power BI / SQL / Python) Contrôles de qualité de données et fiabilisation des référentiels Définition des indicateurs et challenge des besoins métiers Collaboration transverse entre les équipes Data, Cyber et Risques Analyse de données : habilitations, logs, référentiels IAM Profil recherché : Un Data Analyst spécialisé en cybersécurité, capable de comprendre les enjeux Cyber & IAM sans être un expert applicatif IAM. Rigueur, sens de l’analyse et capacité à manipuler la donnée à grande échelle sont essentiels.;https://www.free-work.com/fr/tech-it/consultant-cyber-securite/job-mission/data-analyst-oriente-cybersecurite-reporting-h-f;4;104500.0
Data Analyst / Expert PowerBI Senior (F/H);Savane Consulting;France / Remote;400-550 €⁄j;Data Analyst / Expert PowerBI - Freelance - Moissy-Cramayel - 400-550€/jour Contexte : Nous recherchons un Data Analyst Power BI pour une mission d’environ trois mois et demi. L’objectif est de développer et d’améliorer plusieurs outils de pilotage et d’analyse de données dans un contexte industriel complexe. Missions : Concevoir et mettre à jour des tableaux de bord Power BI à partir de données issues de différents systèmes internes. Structurer, fiabiliser et analyser des volumes importants de données afin d’identifier des tendances, alertes et axes d’amélioration. Mettre en place des courbes d’évolution, simulations et indicateurs personnalisés. Reprendre et corriger des tableaux de bord existants afin d’assurer la cohérence entre données sources et résultats affichés. Préparer des livrables clairs et documentés pour faciliter l’exploitation et la maintenance des outils développés. Collaborer avec les équipes métiers pour comprendre les besoins, recueillir les retours et ajuster les outils en conséquence. Compétences requises : Maîtrise avancée de Power BI : modélisation de données, mesures, visuels, automatisation, gestion de filtres. Solide expérience en traitement et structuration de données multidimensionnelles. Capacité à analyser des données techniques, détecter des signaux faibles et produire des indicateurs pertinents. Aisance dans la mise en forme de rapports et la présentation de résultats. Rigueur, autonomie, sens du détail et capacité à travailler avec des interlocuteurs variés.;https://www.free-work.com/fr/tech-it/consultant-decisionnel-bi-powerbi-sas-tableau/job-mission/data-analyst-expert-powerbi-senior-f-h;4;104500.0
Un(e) Data Analyste - Maintenance évolutive d'une application de reporting;EXMC;France / Remote;400-480 €⁄j;Data Analyste Expert - Maintenance évolutive d'une application de reporting Contexte : Nous recherchons pour un(e) consultant(e) Data Analyste BI confirmé(e) pour assurer la maintenance évolutive et contribuer à l'amélioration continue d'une application de reporting interne dédiée au suivi commercial. Cette application joue un rôle clé en collectant des données stratégiques et en les mettant à disposition des utilisateurs internes afin de suivre et analyser la performance commerciale. Missions : En tant que Data Analyste confirmé, vous serez chargé(e) de la gestion opérationnelle de l’application de reporting et participerez activement à un projet stratégique visant à optimiser le processus de collecte et de mise à jour des données. Ce projet a pour objectif de simplifier les flux de données, réduire au minimum les traitements manuels, et accélérer le cycle de mise à jour des informations tout en garantissant une qualité de données irréprochable. Plus spécifiquement, vous serez amené(e) à : • Assurer la maintenance évolutive de l'application existante, en veillant à son bon fonctionnement et à l’intégration des évolutions nécessaires pour répondre aux besoins internes. • Contribuer à l'amélioration du processus de reporting en travaillant sur l’automatisation de la collecte de données et l'optimisation des traitements, afin de simplifier le processus tout en préservant la fiabilité et la précision des données. • Collaborer avec l’équipe interne pour définir les besoins fonctionnels et techniques, et pour déployer des solutions adaptées à l’amélioration de l'analyse de la performance commerciale. • Apporter une expertise technique et fonctionnelle pour l’optimisation des outils de reporting et pour le développement de nouvelles fonctionnalités. • Prendre en charge la maintenance des solutions déployées en apportant des améliorations continues et en veillant à leur adéquation avec les exigences métiers. • Effectuer une analyse détaillée des données afin d’identifier des axes d’amélioration dans les processus existants et proposer des solutions efficaces et adaptées aux enjeux commerciaux de l’entreprise. • Assistance aux utilisateurs en faisant preuve de pédagogie pour les autonomiser. Aide à la gestion du changement. Compétences techniques et linguistiques requises Profil recherché : • Expertise confirmée en Business Intelligence, avec une maîtrise des outils d’extraction et de traitement de données, et des technologies associées. • Maitrise de l’utilisation de SQL pour sélectionner des données • Compétences solides en analyse de données, avec une capacité à traduire des besoins métiers en solutions techniques. • La connaissance d’outils de reporting serait un plus. • Capacité à travailler de manière autonome et en équipe. • Rigueur et souci de la qualité des données, avec une forte orientation résultats. Les solutions BI mise en œuvre actuellement chez le client sont basées sur les technologies suivantes : • Oracle • IBM Datastage • Power BI • SAP Business Object 4.2 • Outil de data virtualization comme Denodo • Sqlserver Compétences requises • Une expérience significative d’un minima de 4 années dans l’intégration de systèmes décisionnels • Une expertise concrète en environnement BI • De solides connaissances ainsi qu’une expérience significative dans la manipulation de données. • Des compétences fonctionnelles • Un fort sens de l’analyse et de la pro activité • Capacité rédactionnelle • Excellent relationnel • Maîtrise de l’anglais indispensable (lu, parlé, écrit) Autres compétences appréciées • Connaissance du métier de l’assurance Durée de la Prestation Régie, pour une période de 6 mois renouvelable.;https://www.free-work.com/fr/tech-it/administrateur-applicatif-erp-crm-sirh/job-mission/un-e-data-analyste-maintenance-evolutive-dune-application-de-reporting;4;96800.0
Data Analyst Informatica;Trait d'Union Consulting;Strasbourg, Grand Est;300-460 €⁄j;Au sein d’un grand groupe industriel international spécialisé dans les solutions électriques, vous intégrerez le pôle Data rattaché à la DSI. L’équipe Data Quality, composée de 4 personnes, a pour mission de garantir la fiabilité et la cohérence des données (Customer, RH, Produit, etc.) dans un contexte multiculturel. L’enjeu est d’assurer la mise à disposition de données fiables, exploitables et de haute qualité au service des équipes métiers et des partenaires distributeurs. Missions qui vous serez conférés : Assurer la qualité, la cohérence et la complétude des données sur l’ensemble des périmètres (client, RH, produit…). Mettre en œuvre et superviser les processus ETL avec l’outil Informatica , validé comme solution principale au sein du pôle Data. Collaborer avec les équipes métiers pour recueillir, analyser et formaliser les besoins en matière de données. Organiser et animer des ateliers métiers afin de traduire les besoins fonctionnels en spécifications techniques. Participer aux projets d’ AMOA Data : rédaction des spécifications, accompagnement des utilisateurs, suivi de la mise en production. Contribuer à la modélisation et à la gouvernance des données , dans une logique d’amélioration continue. Créer et maintenir des rapports et tableaux de bord dans Power BI.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-informatica-2;4;83600.0
Data Analyst Informatica;Trait d'Union Consulting;Strasbourg, Grand Est;300-450 €⁄j;Au sein d’un grand groupe industriel international spécialisé dans les solutions électriques, vous intégrerez le pôle Data rattaché à la DSI. L’équipe Data Quality, composée de 4 personnes, a pour mission de garantir la fiabilité et la cohérence des données (Customer, RH, Produit, etc.) dans un contexte multiculturel. L’enjeu est d’assurer la mise à disposition de données fiables, exploitables et de haute qualité au service des équipes métiers et des partenaires distributeurs. Missions qui vous serez conférés : Assurer la qualité, la cohérence et la complétude des données sur l’ensemble des périmètres (client, RH, produit…). Mettre en œuvre et superviser les processus ETL avec l’outil Informatica , validé comme solution principale au sein du pôle Data. Collaborer avec les équipes métiers pour recueillir, analyser et formaliser les besoins en matière de données. Organiser et animer des ateliers métiers afin de traduire les besoins fonctionnels en spécifications techniques. Participer aux projets d’ AMOA Data : rédaction des spécifications, accompagnement des utilisateurs, suivi de la mise en production. Contribuer à la modélisation et à la gouvernance des données , dans une logique d’amélioration continue. Créer et maintenir des rapports et tableaux de bord dans Power BI.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-informatica-1;4;82500.0
Data Analyst;OBJECTWARE;France / Remote;250-280 €⁄j;Objectifs de la mission Dans le cadre d’activités de pilotage et d’analyse, nous recherchons un Chargé d’Études Statistiques maîtrisant SAS afin de réaliser des travaux d’extraction, de contrôle qualité, d’analyse et de restitution auprès des équipes métier. Livrables attendus Jeux de données fiables issus des extractions SAS Rapports d’analyses Contrôles de cohérence et de qualité des données Tableaux de bord de pilotage Notes de synthèse et documents de restitution Recommandations sur l’amélioration des processus Missions Réaliser des extractions de données via SAS Manipuler, structurer et nettoyer les données Effectuer les contrôles qualité sur les données produites Analyser les résultats et produire les indicateurs de pilotage Rédiger et présenter les analyses aux équipes métier Contribuer à la fiabilisation des référentiels data Échanger avec les équipes métier pour comprendre les besoins et restituer les résultats Profil recherché Bac +3 à Bac +5 en statistiques, mathématiques appliquées, data analysis ou domaine équivalent Expérience confirmée en tant que Chargé d’Études Statistiques, Data Analyst ou équivalent Maîtrise de SAS (SAS Base, Macro) Aisance dans la manipulation de données volumineuses Capacité d’analyse et de synthèse Bon relationnel et capacité à interagir avec les équipes métier Rigueur, autonomie, sens du contrôle et de la qualité des données Compétences techniques SAS Base / SAS Enterprise Guide SQL apprécié Connaissances en qualité de données et data management appréciées Connaissance du secteur assurance est un plus Soft skills Rigueur Autonomie Communication claire Travail en équipe Capacité d’adaptation;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-744;4;58300.0
Data Analyst;Nicholson SAS;Nantes, Pays de la Loire;250 €⁄j;Compétences techniques indispensables : Maîtrise de SQL et Dataiku (indispensable). Bonne connaissance des environnements Big Data (type Data Lake, Hive, Impala, Spark…). Maitrise des bases du web marketing Connaissance des outils de dataviz : Digdash, Qlik Sense, Power BI, etc. Maîtrise de Piano Analytics ou d’un outil équivalent de web analytics est un plus. Compréhension des enjeux liés à la qualité, à la structuration et à la gouvernance de la donnée. Compétences fonctionnelles : Capacité à analyser, synthétiser et vulgariser des résultats complexes. Sens de la rigueur, de l’autonomie et de la curiosité. Excellentes aptitudes à travailler en équipe et à interagir avec des interlocuteurs variés (techniques et métiers).;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-734;4;55000.0
Data Analyst Confirmé – Power BI & SSIS (On-Premise) - Toulouse (H/F);EASY PARTNER;Toulouse, Occitanie;45k-50k €⁄an;Mission à réaliser Le consultant rejoindra le service ODS (Outillage Data Support) et interviendra sur l’ensemble de la chaîne BI , du recueil du besoin à la livraison et au support des dashboards Power BI. 1. Recueil & analyse des besoins Comprendre, analyser et formaliser les besoins des équipes support Identifier les sources de données (ITSM, ServiceNow) 2. Intégration & modélisation des données Intégrer et transformer les données dans l’entrepôt de données Concevoir des modèles de données et des bases agrégées Industrialiser les flux de données via SSIS 3. Développement des dashboards Concevoir et développer des rapports Power BI Produire des dashboards (cycle de vie des incidents, flux inter-équipes, KPI ITSM/ServiceNow) Livrer, documenter et administrer les rapports 4. Support & amélioration continue Assurer le support utilisateurs Former les équipes à l’utilisation des dashboards Suivre les tickets et évolutions dans Jira Contribuer à l’amélioration continue des process et de la qualité des données Environnement technique Power BI (On-premise) SQL / PL-SQL SSIS (Expert) ITSM / ServiceNow Entrepôt de données interne Jira Environnement 100% On-premise;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-confirme-power-bi-ssis-on-premise-toulouse-h-f;4;47500.0
Data Analyst Confirmé – Power BI & SSIS (On-Premise) - Toulouse (H/F);EASY PARTNER;Toulouse, Occitanie;45k-50k €⁄an;Mission à réaliser Le consultant rejoindra le service ODS (Outillage Data Support) et interviendra sur l’ensemble de la chaîne BI , du recueil du besoin à la livraison et au support des dashboards Power BI. 1. Recueil & analyse des besoins Comprendre, analyser et formaliser les besoins des équipes support Identifier les sources de données (ITSM, ServiceNow) 2. Intégration & modélisation des données Intégrer et transformer les données dans l’entrepôt de données Concevoir des modèles de données et des bases agrégées Industrialiser les flux de données via SSIS 3. Développement des dashboards Concevoir et développer des rapports Power BI Produire des dashboards (cycle de vie des incidents, flux inter-équipes, KPI ITSM/ServiceNow) Livrer, documenter et administrer les rapports 4. Support & amélioration continue Assurer le support utilisateurs Former les équipes à l’utilisation des dashboards Suivre les tickets et évolutions dans Jira Contribuer à l’amélioration continue des process et de la qualité des données Environnement technique Power BI (On-premise) SQL / PL-SQL SSIS (Expert) ITSM / ServiceNow Entrepôt de données interne Jira Environnement 100% On-premise;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-confirme-power-bi-ssis-on-premise-toulouse-h-f;4;47500.0
Data analyst Power BI / Cognos Orleans. 2 jours de TT.;WorldWide People;France / Remote;TJM;Data analyst Power BI / Cognos Orleans. 2 jours de TT. Environnement technique : Microsoft Power BI Desktop, Report server IBM COGNOS Analytics C11. Base de données : HP Vertica 10.1. Description du poste : Le prestataire sera placé directement sous la responsabilité du responsable du service Modélisation des Données. Il exécutera les missions suivantes : Autour de Power BI : être le point de contact technique des utilisateurs finaux ou des réalisateurs de Power BI Desktop, réalisation de reporting complexes Conception et implémentation de Datamarts Autour de COGNOS : analyse d’expression de besoin, création et évolution de rapport / Conception de pack Le poste a une dimension technique mais aussi une dimension relationnelle forte autour de l’analyse des besoins, leur recette et le suivi en mode projet. Connaissances organisationnelles : Suivi de projet en tant que contributeur MOE Relation avec un infogérant Relation avec des équipes sécurité / réseau /etc. Connaissances techniques : Le profil recherché doit maitriser les solutions techniques suivantes : Power BI Desktop / Power BI Report Server / DAX / RLS - expérience : 2 années minimum Modélisation de données : constitution de datamart - expérience : 4 années minimum COGNOS C11 : conception de rapport - expérience : 1 années minimum COGNOS C11 : framework - expérience : 1 années minimum Optimisation SQL - expérience : 4 années minimum Idéalement des connaissances sur l’administration fonctionnelle ou technique d’une plateforme Power BI Report server (on premise) Il faut la double compétence Power Bi / Cognos et un très bon relationnel.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-power-bi-cognos-orleans-2-jours-de-tt;4;0.0
Data Analyst;R&S TELECOM;France / Remote;N/C;Mission ne convient pas à un data scientist Compétences OBLIGATOIRES : Guru en PySpark Très bonne maitrise de Tableau et de Panda. Capacité d'analyse, bon niveau statistique. Démarrage : ASAP Experience : 4/5ans min Dans le cadre de ce besoin : En tant que consultant data au sein de la Cellule du Qualité de Fixe (CQF) de Bouygues Telecom, vous serez en charge de produire des analyses à partir de dataset que vous aurez constitués sur des données de nos plateformes Big Data, Vous aurez également la responsabilité de rendre disponible des données, une fois celles-ci nettoyées, préparées et formatées sous forme de dataset ou de table à disposition des datascientists de l'équipe. Vous aurez à développer des tableaux de bord de suivi de KP.. Vous serez en charge de : -L'exploitation de la plateforme Big Data de monitoring Wifi des Box : A ce titre vous aurez la charge : -Du monitoring des principaux KPI du système et la misé en œuvre des nouveaux KPI -Des investigations lors d'incident : Vous déclencherez et piloterez le fournisseur et / ou les autres entités de Bytel contribuant à son bon fonctionnement. -Vous serez le garant de mise à disposition des données issues du cluster HDFS. Vous aurez des scripts Scala / Spark à développer pour toute évolution à la demande de l'équipe Datascience ou en fonction des évolutions du système. -Vous assurez la mise en œuvre des politiques de sécurités et de sauvegarde, et appliquer tout patch ou correctif nécessaire à cette intégrité. -Du pilotage des fournisseurs externes et internes pour les évolutions de la plateforme, que ces évolutions portent sur le hardware, les applicatifs, ou l'architecture réseau. La data ingénierie et l'exploitation de la plateforme Data en architecture de type microservices, basée sur Kubernetes et OpenShift. Vos tâches seront de : -Assurer la supervision et débogage du système via Openshift -S’assurer du bon fonctionnement des applicatifs (Spark, MinIo, Jhub, MySQL, Airflow) -Contrôler les volumes et consommations Hardware de la plateforme -Débugger les pods en cas d’erreur -Assurer l’écriture des graphes Helm pour les déploiements applicatifs -Ecriture de charts Helm pour le déploiement de nouveaux applicatifs -Tester les nouveaux graphes sur la plateforme de test -Déployer et patcher les applicatifs déjà existants avec Helm -Assurer la pérennité de la plateforme en gérant efficacement les images et graphes via GitLab -Assurer la gestion des utilisateurs et des règles de gestion du Datalake -Gestion des buckets et utilisateurs -Création de points de stockage et destis règles de gestion associées -Création de scripts pour le stockage de Parquets -Assurer le fonctionnement du déploiement continu avec GitLab -Administration des images de production Gitlab et DockerHub En résumé : Guru en PySpark et très bonne maitrise de Tableau et de Panda. Avec une capacité d'analyse, bon niveau statistique. Amené à faire du développement descriptif de requête pour diffuser des KPI sous forme de dashboard Tableau.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-737;4;0.0
Lead Data Quality Analyst;Tenth Revolution Group;Paris, France;600-700 €⁄j;En tant que Lead Data Quality Analyst , vous êtes le garant de la fiabilité et de l'intégrité de nos actifs data. Votre rôle central consiste à définir, mesurer et mettre en œuvre les stratégies et processus assurant une haute qualité des données, indispensable à la prise de décision et au succès de nos initiatives métier. Vous pilotez l'ensemble du cycle de vie de la qualité des données : Gouvernance et Stratégie Data Quality : Définir et maintenir les règles de qualité des données (complétude, unicité, validité, cohérence et format). Établir les indicateurs clés de performance (KPI) de la qualité des données et s'assurer de leur suivi régulier. Analyse et Audit des Données : Analyser la qualité des données au sein de nos systèmes sources et cibles (Data Warehouse, Data Lake). Identifier les anomalies, les causes racines des problèmes de qualité (système, processus, ou saisie) et recommander des actions correctives. Implémentation Technique : Mettre en œuvre des contrôles de qualité automatisés directement dans les outils d'entrepôt de données (notamment Snowflake ). Développer des tableaux de bord de monitoring de la qualité pour visualiser les scores et les tendances (via Qlik ou d'autres outils de visualisation). Coordination et Amélioration Continue : Collaborer étroitement avec les Data Engineers, les Data Scientists et les équipes métier pour garantir la bonne application des règles de qualité. Gérer la priorisation des tickets et des actions d'amélioration de la qualité des données.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/lead-data-quality-analyst;3;143000.0
Data Analyst;VISIAN;Paris, France;400-600 €⁄j;Descriptif du poste Dans le cadre de la production et de la maintenance des KPI/KRI pour l'entité, la mission comprend : Le maintien de la production actuelle des KPI/KRI, en assurant la mise à jour des formules de calcul selon les évolutions fonctionnelles et réglementaires. L'identification et la définition des nouveaux KPI/KRI à produire sur l'ensemble du périmètre, ainsi que la participation à leur validation en lien avec les équipes métiers. L'automatisation de la collecte, du traitement et de la consolidation des données nécessaires à la production des indicateurs, à l'aide de scripts développés en Python. La revalidation des formules de calcul des KPI IAM existants, leur fiabilisation, puis leur intégration dans le dashboard global de suivi. L'enrichissement et la maintenance des dashboards réalisés sous Power BI, avec une attention particulière portée à la cohérence visuelle, la pertinence des filtres de suivi et la publication automatisée des rapports. L'extension des mesures de contrôle liées à la production des dashboards, incluant la mise en place d'une couche additionnelle de reporting et l'envoi automatique d'alertes par e-mail en cas de détection d'anomalie ou de mauvaise qualité de données.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-742;3;110000.0
Web / Data Analyst Piano Analytics H/F/NB;Comet;France / Remote;400-580 €⁄j;Leader des médias français , notre client recherche un Data Analyst expérimenté pour accompagner la transformation digitale de ses offres numériques. Rejoignez la Direction Data et contribuez à faire de la donnée un levier stratégique de croissance. 🚀 Vos missions : Pilotage & Reporting Créer et automatiser des dashboards Power BI pour les équipes Growth (CRM, Acquisition, Social) Recueillir les besoins métier et rédiger les cahiers des charges techniques Superviser la qualité des données et optimiser les performances des rapports existants Analyse & Insights Analyser les données Piano Analytics, Nielsen/eStat Streaming Étudier les parcours utilisateurs et la consommation vidéo (Web/App/TV) Produire des analyses mensuelles et recommandations actionnables Collaborer avec l'équipe Études pour approfondir la connaissance utilisateur Formation & Accompagnement Former et coacher les équipes internes sur Piano Analytics et les outils d'analyse Sensibiliser à l'intégration de la data dans les processus de décision Vulgariser les concepts techniques pour des équipes non-techniques Stratégie Data Définir et harmoniser les KPIs transverses pour les équipes Growth, Produit et Métiers Spécifier les prérequis de tracking pour les analyses futures Contribuer au déploiement du marqueur interne sur de nouveaux produits;https://www.free-work.com/fr/tech-it/analyste-web/job-mission/web-data-analyst-piano-analytics-h-f-nb;3;107800.0
Data Analyst Workday / Cornerstone (H/F);GALULA CONSULTING;France / Remote;400-550 €⁄j;Au sein du HR Data Office, vous accompagnerez les Business Process Owners (BPOs) dans la mise en place de dashboards et d’analyses pertinentes afin de soutenir deux domaines clés : • Formation : exploitation des données issues de Cornerstone OnDemand • Talent & Performance : exploitation des données issues de Workday Votre rôle sera d’assurer la liaison entre les équipes métiers et les équipes techniques, en garantissant que les visualisations de données répondent aux objectifs stratégiques et opérationnels. 🚀 Missions principales • Définition des indicateurs clés • Identifier et proposer des KPIs pertinents avec les équipes métiers • Traduire les besoins métier en exigences claires pour les dashboards • Création et maintenance des dashboards Power BI • Concevoir, mettre à jour et maintenir des tableaux de bord adaptés aux besoins • Étudier les options de reporting disponibles sur Cornerstone OnDemand et Workday • Analyse des données • Réaliser des analyses quantitatives et qualitatives sur les données de formation et de performance • Examiner les données historiques et actuelles pour identifier tendances, comportements et anomalies • Fournir des insights pour améliorer la prise de décision et l’efficacité opérationnelle • Support à la prise de décision • Présenter les dashboards et rapports aux équipes et parties prenantes • Fournir une documentation détaillée des solutions mises en place • Être force de proposition pour définir les KPIs et mettre en avant les impacts au sein de l’organisation;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-workday-cornerstone-h-f;3;104500.0
2 DATA ANALYST POWER BI;UCASE CONSULTING;Paris, France;400-550 €⁄j;Bonjour ☺️, Pour le compte de notre client, nous recherchons plusieurs data analyst Power BI. Objectif du rôle : Produire des analyses data stratégiques pour améliorer la satisfaction client, la performance des axes et accompagner les équipes marketing dans la prise de décision. Fiche de Poste – Data Analyst Objectif du rôle : Produire des analyses data stratégiques pour améliorer la satisfaction client, la performance des axes entreprises et accompagner les équipes marketing dans la prise de décision. 🎯 Missions principales 1. Analyse de la satisfaction client (« qualité perçue ») Analyser les indicateurs de satisfaction sur plusieurs périmètres stratégiques. Mesurer l’évolution de la qualité perçue, notamment dans le contexte d’ouverture à la concurrence. Travailler en lien étroit avec les data analystes, chargés d’étude et référents satisfaction. Identifier les irritants majeurs et proposer des axes d’amélioration actionnables. 2. Analyse de la performance des axes Analyser la performance réelle et perçue des différents axes. Produire des analyses permettant d’identifier les dégradations de qualité et leurs causes. Fournir aux équipes opérationnelles des insights clés pour orienter les plans d’action. Construire des tableaux de bord permettant le suivi dans le temps. 3. Appui BI & Développement de Data Visualisations Concevoir, développer et maintenir des dashboards Power BI (ou équivalents : Tableau, Qlik). Accompagner les équipes métier dans l’analyse des données issues des enquêtes et mesures de satisfaction. Apporter un conseil BI : choix des KPIs, structuration des dashboards, optimisation des visualisations. Participer aux projets ad hoc d’analyse data et de support aux équipes études / marketing. 4. Conduite d’études marketing (pour un des deux analystes) Lancer, piloter et analyser des études marketing orientées satisfaction client. Définir les protocoles d’études et les questionnaires. Croiser données d’enquêtes, données opérationnelles et verbatims. Produire des synthèses claires et opérationnelles pour les directions marketing. Restituer les conclusions à l’oral et à l’écrit auprès de différentes parties prenantes. 5. Collaboration et périmètre évolutif Collaborer avec les équipes internes : marketing, axes, data analystes, chargés d’étude. Participer aux échanges autour des méthodologies, KPIs et axes d’amélioration. Être force de proposition sur les analyses complémentaires à mener. Possibilité d’extension de périmètre au-delà d’INOUI selon les besoins du groupe.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/2-data-analyst-power-bi;3;104500.0
Data Analyst - Microstrategy - Nantes;Argain Consulting Innovation;Nantes, Pays de la Loire;400-550 €⁄j;Nous recherchons un(e) Consultant(e) Data Analyst MicroStrategy pour rejoindre notre équipe et accompagner notre client et les utilisateurs dans la mise en production, la supervision et l’optimisation de leurs solutions décisionnelles. Vous serez garant(e) de la qualité, de la performance et de la conformité des livrables, tout en apportant une expertise technique et un support opérationnel. 🚀 Vos missions Contrôler les livrables MicroStrategy (performances, respect des bonnes pratiques...) avant leur mise en production. Valider le passage en production des éléments conformes. Apporter assistance et conseil aux développeurs dans leurs réalisations. Assurer la supervision de la plateforme MicroStrategy (exécutions, performances, consommation, etc.). Contribuer à l’amélioration continue des services dans un environnement AGILE . Suivi et traitement des demandes utilisateurs (analyse, avancement, résolution). Documentation et mise à jour des récits du Backlog (tableaux de bord, procédures, guides utilisateurs, etc.). Contribution active à l’évolution et à l’optimisation des produits et service;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-microstrategy-nantes-1;3;104500.0
Data Analyst Power BI;ICSIS;Lille, Hauts-de-France;400-450 €⁄j;La mission consiste à : - Analyser les données clients - Réaliser des analyses ad hoc pour répondre aux besoins des équipes - Mettre en place des tableaux de bord Power BI pour suivre les KPIs - Identifier des opportunités business via des analyses prédictives ou des insights data-driven Compétences demandées : - Expériences significatives en tant que data analyst, avec une spécialisation en marketing (loyalty, CRM, leads, media, generosity, pricing...) - Maitrise de Power BI - Bonne compréhension des enjeux marketing client - Anglais professionnel;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/business-data-analyst-power-bi;3;93500.0
Data analyst;ESENCA;Lille, Hauts-de-France;400-430 €⁄j;Contexte du poste Dans le cadre du déploiement du WMS GROUP basé sur la solution SAAS Manhattan active, nous recherchons un Data Analyst Maitrisant pour accompagner l’équipe projet. Le projet est actuellement en phase de build, avec un premier démarrage de site prévu pour avril 2026. Ce poste est une belle opportunité au cœur d’un projet stratégique et international. Missions : *Participer à la conception des indicateurs clés de performance (KPI) liés à l'activité logistique *Réaliser des rapports et dashboards via Microsoft Power BI, Jasper et Manhattan SCI (Technologie IBM Cognos) *Écrire des requêtes SQL complexes et optimisées *Travailler avec les équipes métiers (logistique, data, IT en BU) pour comprendre les besoins et y répondre de manière pertinente *Participer à l'écriture des spécifications *Participer à la phase de recette des rapports, en lien avec les équipes projets *Contribuer à la documentation des rapports, sources de données, KPIs, etc.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-730;3;91300.0
Data analyst;Deodis;Toulouse, Occitanie;370-400 €⁄j;Nous mettons à disposition de différentes équipes des dashboards Power BI. Nous sommes autonomes sur toute la chaîne de liaison, incluant : -Récupération des besoins -Récupération de la donnée -Modélisation -Intégration de la donnée à l'entrepôt de données -Dashboarding -Livraison -Administration du service Power BI -Support et formation des utilisateurs aux dashboards Nous cherchons quelqu'un d'organisé, rigoureux, logique et doté d'un bon sens de communication (écoute et restitution) pour intégrer le pôle BI de 4 personnes. Votre travail consistera à : -Concevoir et développer les rapports attendus sur Power BI -Intégrer de nouvelles données dans notre entrepôt de données -Concevoir et développer des bases de données agrégées -Récupérer les nouveaux besoins -Intégrer ces données -Suivre les tâches dans Jira -Assurer le support sur les dashboards et répondre aux interrogations des utilisateurs Les rapports sont des dashboards à destination des équipes supports informatique : -Cycle de vie des incidents -Flux d'incidents entre les différentes équipes -Source de données : ITSM, Service Now;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-748;3;84700.0
